D RKNN: [20:50:03.396] --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D RKNN: [20:50:03.396]                                                         Network Layer Information Table                                                      
D RKNN: [20:50:03.396] --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D RKNN: [20:50:03.396] ID   OpType             DataType Target InputShape                               OutputShape            Cycles(DDR/NPU/Total)    RW(KB)       FullName        
D RKNN: [20:50:03.396] --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D RKNN: [20:50:03.396] 0    InputOperator      INT64    CPU    \                                        (5,30)                 0/0/0                    0            InputOperator:prev_output_tokens
D RKNN: [20:50:03.396] 139  Transpose          FLOAT16  NPU    (5,168,1,30)                             (30,168,1,5)           0/0/0                    49           Transpose:/model/layers.3/encoder_attn/Reshape_3_output_0_tp
D RKNN: [20:50:03.396] 140  exMatMul           FLOAT16  NPU    (512,168,1,1),(30,168,1,5),...           (30,512,1,5)           22391/1440/22391         367          exMatMul:/model/layers.3/encoder_attn/out_proj/MatMul
D RKNN: [20:50:03.396] 141  exNorm             FLOAT16  NPU    (30,512,1,5),(1,512,1,1),(1,512,1,1)     (30,512,1,5)           0/0/0                    152          exNorm:/model/layers.3/encoder_attn_layer_norm/ReduceMean_2ln
D RKNN: [20:50:03.396] 142  ConvRelu           FLOAT16  NPU    (30,512,1,5),(2048,512,1,1)              (30,2048,1,5)          121128/983040/983040     2198         Conv:/model/layers.3/fc1/MatMul
D RKNN: [20:50:03.396] 143  exMatMul           FLOAT16  NPU    (512,2048,1,1),(30,2048,1,5),...         (30,512,1,5)           127622/15360/127622      2798         exMatMul:/model/layers.3/fc2/MatMul
D RKNN: [20:50:03.396] 144  Transpose          FLOAT16  NPU    (30,512,1,5)                             (30,5,1,512)           0/0/0                    150          Transpose:/model/layers.2/final_layer_norm/ReduceMean_2ln_rs_tp
D RKNN: [20:50:03.396] 145  Reshape            FLOAT16  NPU    (30,5,1,512),(3)                         (30,5,512)             0/0/0                    240          Reshape:x.119-rs
D RKNN: [20:50:03.396] 146  OutputOperator     FLOAT16  CPU    (30,5,512)                               \                      0/0/0                    150          OutputOperator:x.119
D RKNN: [20:50:03.396] 147  exNorm             FLOAT16  NPU    (30,512,1,5),(1,512,1,1),(1,512,1,1)     (30,512,1,5)           0/0/0                    152          exNorm:/model/layers.3/final_layer_norm/ReduceMean_2ln
D RKNN: [20:50:03.396] 148  Conv               FLOAT16  NPU    (30,512,1,5),(504,512,1,1)               (30,504,1,5)           34705/245760/245760      654          Conv:/model/layers.4/self_attn/MatMul
D RKNN: [20:50:03.396] 149  Transpose          FLOAT16  NPU    (30,504,1,5)                             (5,1,504,30)           0/0/0                    147          Transpose:/model/layers.4/self_attn/MatMul_2gather_rs_rs_tp
D RKNN: [20:50:03.396] 150  Reshape            FLOAT16  NPU    (5,1,504,30),(4)                         (40,63,1,30)           0/0/0                    1181         Reshape:/model/layers.4/self_attn/MatMul_2gather_rs_rs
D RKNN: [20:50:03.396] 151  Split              FLOAT16  NPU    (40,63,1,30),(3)                         (40,21,1,30),...       0/0/0                    150          Split:/model/layers.4/self_attn/Slice_1_2sp
D RKNN: [20:50:03.396] 152  Mul                FLOAT16  NPU    (40,21,1,30),(1,1,1,1)                   (40,21,1,30)           0/0/0                    56           Mul:/model/layers.4/self_attn/Mul_3
D RKNN: [20:50:03.396] 153  exSDPAttention     FLOAT16  NPU    (40,21,1,30),(40,21,1,30),...            (40,21,1,30)           0/0/0                    243          exSDPAttention:/model/layers.4/self_attn/MatMul_2_2sdpa
D RKNN: [20:50:03.396] 154  Reshape            FLOAT16  NPU    (40,21,1,30),(4)                         (5,168,1,30)           0/0/0                    56           Reshape:/model/layers.4/self_attn/Reshape_3_output_0_rs
D RKNN: [20:50:03.396] 155  Transpose          FLOAT16  NPU    (5,168,1,30)                             (30,168,1,5)           0/0/0                    49           Transpose:/model/layers.4/self_attn/Reshape_3_output_0_tp
D RKNN: [20:50:03.396] 156  exMatMul           FLOAT16  NPU    (512,168,1,1),(30,168,1,5),...           (30,512,1,5)           22391/1440/22391         367          exMatMul:/model/layers.4/self_attn/out_proj/MatMul
D RKNN: [20:50:03.396] 157  exNorm             FLOAT16  NPU    (30,512,1,5),(1,512,1,1),(1,512,1,1)     (30,512,1,5)           0/0/0                    152          exNorm:/model/layers.4/self_attn_layer_norm/ReduceMean_2ln
D RKNN: [20:50:03.396] 158  Conv               FLOAT16  NPU    (30,512,1,5),(168,512,1,1)               (30,168,1,5)           15898/84480/84480        318          Conv:/model/layers.4/encoder_attn/MatMul
D RKNN: [20:50:03.396] 159  Transpose          FLOAT16  NPU    (30,168,1,5)                             (5,1,168,30)           0/0/0                    49           Transpose:/model/layers.4/encoder_attn/Transpose_3_output_0_tp
D RKNN: [20:50:03.396] 160  Reshape            FLOAT16  NPU    (5,1,168,30),(4)                         (20,42,1,30)           0/0/0                    393          Reshape:/model/layers.4/encoder_attn/Reshape_output_0_rs
D RKNN: [20:50:03.396] 161  exSDPAttention     FLOAT16  NPU    (20,42,1,30),(20,42,1,60),...            (20,42,1,30)           0/0/0                    281          exSDPAttention:/model/layers.4/encoder_attn/MatMul_4_2sdpa
D RKNN: [20:50:03.396] 162  Reshape            FLOAT16  NPU    (20,42,1,30),(4)                         (5,168,1,30)           0/0/0                    56           Reshape:/model/layers.4/encoder_attn/Reshape_3_output_0_rs
D RKNN: [20:50:03.396] 163  Transpose          FLOAT16  NPU    (5,168,1,30)                             (30,168,1,5)           0/0/0                    49           Transpose:/model/layers.4/encoder_attn/Reshape_3_output_0_tp
D RKNN: [20:50:03.396] 164  exMatMul           FLOAT16  NPU    (512,168,1,1),(30,168,1,5),...           (30,512,1,5)           22391/1440/22391         367          exMatMul:/model/layers.4/encoder_attn/out_proj/MatMul
D RKNN: [20:50:03.396] 165  exNorm             FLOAT16  NPU    (30,512,1,5),(1,512,1,1),(1,512,1,1)     (30,512,1,5)           0/0/0                    152          exNorm:/model/layers.4/encoder_attn_layer_norm/ReduceMean_2ln
D RKNN: [20:50:03.396] 166  ConvRelu           FLOAT16  NPU    (30,512,1,5),(2048,512,1,1)              (30,2048,1,5)          121128/983040/983040     2198         Conv:/model/layers.4/fc1/MatMul
D RKNN: [20:50:03.396] 167  exMatMul           FLOAT16  NPU    (512,2048,1,1),(30,2048,1,5),...         (30,512,1,5)           127622/15360/127622      2798         exMatMul:/model/layers.4/fc2/MatMul
D RKNN: [20:50:03.396] 168  Transpose          FLOAT16  NPU    (30,512,1,5)                             (30,5,1,512)           0/0/0                    150          Transpose:/model/layers.3/final_layer_norm/ReduceMean_2ln_rs_tp
D RKNN: [20:50:03.396] 169  Reshape            FLOAT16  NPU    (30,5,1,512),(3)                         (30,5,512)             0/0/0                    240          Reshape:x.159-rs
D RKNN: [20:50:03.396] 170  OutputOperator     FLOAT16  CPU    (30,5,512)                               \                      0/0/0                    150          OutputOperator:x.159
D RKNN: [20:50:03.396] 171  exNorm             FLOAT16  NPU    (30,512,1,5),(1,512,1,1),(1,512,1,1)     (30,512,1,5)           0/0/0                    152          exNorm:/model/layers.4/final_layer_norm/ReduceMean_2ln
D RKNN: [20:50:03.396] 172  Transpose          FLOAT16  NPU    (30,512,1,5)                             (30,5,1,512)           0/0/0                    150          Transpose:/model/layers.4/final_layer_norm/ReduceMean_2ln_rs_tp
D RKNN: [20:50:03.396] 173  Reshape            FLOAT16  NPU    (30,5,1,512),(3)                         (30,5,512)             0/0/0                    240          Reshape:x.199-rs
D RKNN: [20:50:03.396] 174  OutputOperator     FLOAT16  CPU    (30,5,512)                               \                      0/0/0                    150          OutputOperator:x.199
D RKNN: [20:50:03.396] 175  OutputOperator     FLOAT16  CPU    (30,5,512)                               \                      0/0/0                    150          OutputOperator:x.199
D RKNN: [20:50:03.396] 176  Transpose          FLOAT16  NPU    (30,5,1,512)                             (5,512,1,30)           0/0/0                    240          Transpose:/model/Transpose_1_output_0_tp
D RKNN: [20:50:03.396] 177  Conv               FLOAT16  NPU    (5,512,1,30),(49600,512,1,1)             (5,49600,1,30)         2782785/7936000/7936000  49750        Conv:/model/MatMul
D RKNN: [20:50:03.396] 178  Transpose          FLOAT16  CPU    (5,49600,1,30)                           (5,30,1,49600)         0/0/0                    14531        Transpose:decoder_output_mm_tp
D RKNN: [20:50:03.396] 179  Reshape            FLOAT16  NPU    (5,30,1,49600),(3)                       (5,30,49600)           0/0/0                    14531        Reshape:decoder_output_mm_tp_rs
D RKNN: [20:50:03.396] 180  OutputOperator     FLOAT16  CPU    (5,30,49600)                             \                      0/0/0                    14531        OutputOperator:decoder_output
D RKNN: [20:50:03.396] --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D RKNN: [20:50:03.511] ----------------------------------------
D RKNN: [20:50:03.511] Total Internal Memory Size: 48330.4KB
D RKNN: [20:50:03.511] Total Weight Memory Size: 179147KB
D RKNN: [20:50:03.511] ----------------------------------------
